,EventName,Date,City/Country,Exhibits,URL
0,GPCE General Practice Conference Exhibition,"September 10, 2021 - September 12, 2021",Sydney Australia Oceania,"healthcare companies to showcase the latest medical products, treatments and innovations relevant to General Practice and primary care.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119102
1,AUSPACK 2022,"May 17, 2022 - May 20, 2022",Melbourne Australia Oceania,"processing technologies, packaging machinery, sustainable packaging, active and intelligent packaging, digital printing, packaging for ecommerce, last-mile solutions, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119680
2,AUSPACK 2021 (postponed to 2022),"May 25, 2021 - May 28, 2021",Sydney Australia Oceania,"processing technologies, packaging machinery, sustainable packaging, active and intelligent packaging, digital printing, packaging for ecommerce, last-mile solutions, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110338
3,DesignBUILD,"November 11, 2021 - November 13, 2021",Sydney Australia Oceania,"Landscape & Outdoor, Interior Fixtures & Finishes, Cladding, CAD Software, HVAC, Smart Home Automation, Security, and more.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107978
4,Integrate 2021,"July 21, 2021 - July 23, 2021",Sydney Australia Oceania,"AUDIO SYSTEMS & EQUIPMENT, COLLABORATION TECHNOLOGY, DIGITAL SIGNAGE & ENGAGEMENT, EDUCATION TECHNOLOGY, RESIDENTIAL AV SOLUTIONS, SMART BUILDINGS, NETWORKS, ENTERTAINMENT TECHNOLOGY, MEDIA PRODUCTION & DISTRIBUTION",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119463
5,AIMEX Asia Pacific's International Mining Exhibition,"November 16, 2021 - November 18, 2021",Sydney Australia Oceania,"latest mining technology, equipment and services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119430
6,AGE 2021 Australasian Gaming Expo,"August 10, 2021 - August 12, 2021",Sydney Australia Oceania,"ARCHITECTURE, CONSTRUCTION AND DESIGN, ATM EQUIPMENT, AUDIO VISUAL & STAGING EQUIPMENT, BINGO, BUILDING SERVICES, CASH HANDLING, CASH HANDLING EQUIPMENT, CHILDRENS PLAYGROUNDS & EQUIPMENT, CLIMATE CONTROL, COFFEE, COMMERCIAL FURNITURE, COMPLIANCE, COMPUTER SOFTWARE, CONSULTANCY SERVICES, CONSUMABLES, CUSTOM MADE FURNITURE, DESIGHN, DIGITAL SIGNAGE, ENTERTAINMENT, FINANCIAL SERVICES, FLOORING & FLOOR COVERINGS, FOOD & BEVERAGE, FOOD & BEVERAGE EQUIPMENT, FURNITURE, GAMING EQUIPMENT, GAMING MACHINES, GIFTWARE, HARDWARE & NETWORKS, HR SOFTWARE, HUMAN RESOURCES, INDUSTRY ASSOCIATIONs, INTERIOR DESIGN & FITOUT, IT, ROYALTY & REWARDS PROGRAMS, MANUFACTURING, MEMBERSHIP MANAGEMENT SYSTEMS, PAGING & COMMUNICATION, PLANTS, PRINT PRODUCION, PRINTERS, REFRIGERATION, REFURBISHMENT & UPHOLSTERY, RETAIL, SECURITY SYSTEMS & HARDWARE, SIGNAGE, SUPERANNUATION, TRAINING & FURTHER EDUCATION, TRAVEL, UNCATEGORISED, WEBSITE DESIGN AND SOCIAL MEDIA, WINE, SPIRITS & OTHER BEVERAGES",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119460
7,IJWF2021 International Jewellery Watch Fair,"August 28, 2021 - August 30, 2021",Sydney Australia Oceania,"Fine jewellery, Fashion jewellery, Antique Jewellery, Loose Diamonds & Gemstones, Precious Metals, Clocks, Watches, and more.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119409
8,Fine Food Australia,"September  6, 2021 - September  9, 2021",Sydney Australia Oceania,"Food & Specialty, Catering & Front of House Equipment, Drinks, Coffee & Tea, Bakery Equipment & Ingredients, Healthy Living, Hospitality & Retail Technology, Dairy World, Packaging",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119408
9,Safety in Action 2021,"September 29, 2021 - September 30, 2021",Sydney Australia Oceania,"Safety, technology and the procurement of the latest equipment developments & resources in safety",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108953
10,Enlit Australia (Formerly Australian Utility Week and Power Utilities Australia),"July 21, 2021 - July 22, 2021",Melbourne Australia Oceania,energy transition,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108387
11,Decor Design MEL 21,"July 15, 2021 - July 18, 2021",Melbourne Australia Oceania,"Artwork, Decorative Accessories, Fabrics, Furniture, Homewares, Lights & Lamps, Manchester, Objets d'art, Rugs and Floorcoverings, Soft Furnishings, Wall Decoration.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119193
12,AIFF Australian International Furniture Fair,"July 15, 2021 - July 18, 2021",Melbourne Australia Oceania,"Bedroom furniture, Mattresses and Beds, Lounge and dining room furniture, Outdoor and garden furniture, Other furniture and services.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119192
13,Reed Gift Fair Melbourne August 2021,"July 31, 2021 - August  4, 2021",Melbourne Australia Oceania,"Gifts, kitchenware, household goods, interior, accessories, bags, and cosmetics",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110493
