,EventName,Date,City/Country,Exhibits,URL
0,Aeromart Montreal 2021,"October 26, 2021 - October 28, 2021",Montreal Canada North America,"aerospace, equipment, services, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107132
1,IDS 2021 Virtual Interior Design Show,"May 10, 2021 - May 13, 2021",Toronto Canada North America,"Academic/Education, Accessibility, Accessories, Architects / Designers, Association, Builder / Developer, Ceiling/Wall Systems, Commercial / Workspace, Fabrics / Textile / Wallcoverings, Floorcoverings, Furniture, Healthcare, Home Accessories, Hospitality, Kitchen / Bath, Landscape / Outdoor, Lighting, Magazines, Maker, Manufacturer, Materials, Media, Prototype & Studio North, Retail, Services, Signage / Wayfinding, Technology / Innovation, Textiles, Windows & Doors",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109952
2,Powder Bulk Solids,"November  9, 2021 - November 11, 2021",Toronto Canada North America,"Bulk blending, Combustible dust hazards & mitigation, Dust collection &removal, Material handling & transport, Pneumatic conveying, Pollution control, Powder technology, Regulation & safety, Silo & bin design, Stirrers & mixers, Valves, dryers, & feeders",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110055
3,Plast Ex,"November  9, 2021 - November 11, 2021",Toronto Canada North America,"3D printing & additive manufacturing, Adhesives, Assembly, Automation,  Biocompatibility & thermoforming, Blowmolding, CAD/CAM software, Contract manufacturing, Injection molding, Materials & additives, Medical plastics, Molds & dies, Rapid prototyping, Tubing",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110053
4,ADM Advanced Design Manufacturing Expo,"November  9, 2021 - November 11, 2021",Toronto Canada North America,"The latest trends and technologies across automation, robotics, energy efficiency, packaging, plastics, and more.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110060
5,PACKEX Toronto,"November  9, 2021 - November 11, 2021",Toronto Canada North America,"Adhesives, Automation, Bagging, Barcoding, Blister packaging, Cartons & containers, Case packaging, Contract packaging, Digital printing, Flexible packaging, Labeling, Manufacturing equipment, Package design",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110058
6,ATX Automation Technology Expo,"November  9, 2021 - November 11, 2021",Toronto Canada North America,"Automation, Contract manufacturing, Energy efficiency & sustainability, Machinery, Materials & handling, Packaging, Robotics, Testing, Training & education, 3D printing, Assembly, Automatic identification, Collaborative robotics, Controllers, Integrators, Motion control, Robotics, Vision inspection, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110057
7,Design Manufacturing Canada,"November  9, 2021 - November 11, 2021",Toronto Canada North America,"3D printing & additive manufacturing, Assembly, Automation equipment, CAD/CAM software, Contract design & manufacturing services, Design tools, Electrical components, Injection molding, Laser cutting, New materials and coatings, Rapid prototyping, Signal integrity, Test & measurement.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110062
8,TORONTO GIFT HOME MARKET,"August  8, 2021 - August 11, 2021",Toronto Canada North America,"Art, Baby, gift, bed/bath/linen, Handmade, Food, jewellery, personal care.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119428
9,ISA Calgary Show,"September 28, 2021 - September 29, 2021",Calgary Canada North America,"latest technology from suppliers including: Analytical Instrumentation, Control Systems, Flow & Pressure, Instruments, Maintenance & Operation, Process Automation, Robotics, Valves, Regulation, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110413
10,Outdoor Adventure Travel Show Calgary,"May  1, 2021 - May  2, 2021",Calgary Canada North America,"camping gear, paddle sports, outdoor clothing, scuba diving,health & wellness, adventure travel destinations",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110159
