,EventName,Date,City/Country,Exhibits,URL
0,CDDS 2021 Chengdu International Cross Border e commerce Fair,"July 16, 2021 - July 18, 2021",Chengdu China Asia,"Snack food, beverages, dairy products, nutrition and health products, organic food, wine, agricultural products, etc., maternal and child toys, beauty and personal care, household products, crafts, gifts, clothing, etc., consumer electronics, 3C, smart wear, new materials , Biomedicine, 3C digital (cameras, mobile phones, computers and other accessories), smart products, household appliances, office equipment and consumables, kitchen supplies, home textiles, furniture, daily life, home decoration, pet supplies, etc., outdoor clothing, Outdoor equipment, sports and fitness products, auto accessories, etc., cosmetics, skin care, hair care, hair products, beauty tools, daily cleaning, health products, medical equipment, adult products, shoes, apparel, shoes, leather goods, luggage, toys, Baby diapers, feeding and washing, baby clothing, mother products, baby carriages,  platforms, service providers, logistics, financial payments, new retail, e-commerce,  etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119891
1,GOVirtual Business Expo Conference (GOVirtual Expo),"June 10, 2021 - June 12, 2021",Hong Kong China Asia,"Disruptive Business Innovations, Commerce Marketing Technology, Digital Sales Management, Payment & FinTech, Supply Chain & Logistics",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119864
2,ProWine Asia international trade fair for wines and spirits,"September  7, 2021 - September  9, 2021",Hong Kong China Asia,"Bakery, Beer, Catering/Hospitality Technology, Food & Drinks, Foodservice Equipment, Hospitality Design & Supplies, Industry Services, internet Retail, Meat, Retail Design & In-Store Marketing, Retail Technology, Safety Security, Wine / Spirits",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107977
3,HOFEX 2021 Asia's Leading Food Hospitality Tradeshow,"September  7, 2021 - September  9, 2021",Hong Kong China Asia,"Food & Drinks, Wines/Spirits/Beer, Coffee & Tea, Hospitality/Retail, Catering & Foodservice, Equipments, Bakery Equipment & Ingredients, Hospitality Interiors & Supplies.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106814
4,Paperworld China 2021 China International Stationery Office Supplies Exhibition,"October 15, 2021 - October 17, 2021",Shanghai China Asia,"Office supplies, Paper and printing products, Writing instruments, School supplies, IT and multimedia accessories, Art supplies, Gift articles and Hobby & crafts.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119777
5,wire China 2022 All China International Wire Cable Industry Trade Fair,"September 26, 2022 - September 29, 2022",Shanghai China Asia,"Wire manufacturing & finishing machinery, Cable and stranding machines, Fastener & spring manufacturing and finishing machinery, Process technology materials, Auxiliary process technology materials,  Materials, special wires & cables, Measuring & control technology.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110360
6,The 13th Shanghai International Petrochemical Technology and Equipment Exhibition,"August 25, 2021 - August 27, 2021",Shanghai China Asia,"Petrochemical Plant and Equipment; Refining Technology and Equipment; DCS, PLC Control System; Petrochemical Process and Technology; Petrochemical Products and Advanced Materials; Petrochemical Research and Laboratory Equipment; Equipment Overhaul, Maintenance and Management; Fluid Machinery;Solid Waste Disposal;Explosion-Proof Electric;Fire Safety and Emergency Equipment; Chemical Equipment & Technology",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119706
7,cippe2021 21st China International Petroleum Petrochemical Technology and Equipment Exhibition,"June  8, 2021 - June 10, 2021",Beijing China Asia,"equipment and technology of onshore and offshore oil & gas, petrochemical, shale gas, offshore engineering, pipeline, explosion-proof instruments, soil remediation of oilfield, smart oilfield and communication, pump & valve......",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110545
8,The 34th International Electric Vehicles Symposium Exhibition(EVS34),"June 25, 2021 - June 28, 2021",Nanjing China Asia,New energy vehicles Energy and infrastructure Batteries Powertrain,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119688
9,World Intelligent Connected Vehicles Conference,"September 25, 2021 - September 28, 2021",Beijing China Asia,"Energy-efficient cars, new energy vehicles, batteries, electric motors, electric control and charging infrastructure.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119685
