,EventName,Date,City/Country,Exhibits,URL
0,Vision Expo East 2021,"June  2, 2021 - June  5, 2021",Orlando U S A North America,"Eyeglass Frames, Lenses, Contact Lenses, Pharmaceuticals, Solutions, Diagnostic Equipments, Lens Processing Equipment, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110449
1,National Hardware Show 2021,"October 21, 2021 - October 23, 2021",Las Vegas U S A North America,"Hardware & Tools, Gardening & Exterior, Plumbing & Electrical, Paint & Accessories, Leisure & outdoor, Storage & Organization, Pet products, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110162
2,Electric Hybrid Vehicle Technology Expo,"September 14, 2021 - September 16, 2021","Novi, Michigan U S A North America","Automotive Components, Battery Assembly, Battery Components, Battery Management Systems, Battery Materials, Battery Pack Assembly /Integrator, Business Sevices, Cabling Connectors, Charging Infrastructure, Coil Winding, Component Manufacturing, Contract Manufacturing, Distributors, Drivetrain, Engineering Services, Fuel Cell, Load Banks, Logistics & Shipping, Machine Components, Magnetics, Maintenance Services, Manufacturing Equipment, Motors & Drives & Controllers, Power Distribution, Power Electronics, Power Generation, Power Monitoring, Prototyping, Renewable Energy Systems, Research & Development(R&D), Simulation, Software, Testing Services, Thermal Management, Vehicle Manufacturing",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119537
3,Fall Atlanta Home Show,"September 10, 2021 - September 12, 2021",Atlanta U S A North America,"Basement Waterproofing, Bath Fixtures/Tubs/Sinks/Toilets, Bathroom Refinishing, Builders, Cleaning Products/Services, Closet & Garage Organizing & Storage, Cookware/Cutlery, Decks/Refinishing/Sealing, Flooring, Garage Doors & Openers, Garage Flooring, Garden Ponds/Fountains & Waterfalls, Gifts & Gadgets, Granite/Marble/Tile, Grills & Accessories , Gutters, Health & Wellness, HVAC, HVAC Air Quality Control/Purifiers & Filters, Insurance, Kitchen Accessories & Tools, Landscape Design/Installation/Architects, Landscaping & Lawn Maintenance, Lighting, Linens/Pillows, Mattresses/Beds, Painting Supplies/Services, Pet Products & Services, Pools/Spas/Hot Tubs, Remodeling, Sheets/Pillows, Siding/Stucco/Exterior Surfaces & Finishes, Skin Care/Cosmetics, Sunrooms , Travel, Vacuums & Systems, Water Systems & Filters, Window Coverings/Tinting/Screens/Shutters, Windows, Other",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119538
4,Natural Products Expo East,"September 22, 2021 - September 25, 2021",Philadelphia U S A North America,"Cereal & Breakfast Foods, Condiments, Oils & Salad Dressings, Cosmetics, Dairy, Deli, Diet & Nutrition, Drinks, Equipment, Fresh Fruit & Vegetables, Frozen Food, Grains, Pasta & Side Dishes, Grocery, Health & Beauty, Bath Products, Essential Oils/Fragrances, Eye Care, Massage Products, Healthcare, Immune System, Massage/Reflexology, Herbs, Medicinal Products, Children's Remedies, Health & Beauty, Healthcare, Herbs, Medicinal Products, Home And Garden, Literature/Media, Meat & Seafood, Media, Medical Devices, Medicine, Men's accessories, Men's Clothing, Natural Home & Textiles, Other products & services, Packaging, pest control products, Pet Care, Pet Products, Raw Ingredients, Refrigerated/Frozen, Soups & Canned Goods, Supplies, trade magazines, Vitamin And Supplement Products, Vitamin Supplements, Women's accessories, Women's clothing, Women's Shoes",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119539
5,Panama City Beach Gift Show,"October 13, 2021 - October 15, 2021",Panama City U S A North America,"Animal Themed Gifts, Apparel/Clothing, Children's/ Baby, Resortwear, Sleepwear, T-Shirts, Birding Products, Books/Publications/Periodicals/Media(Includes CDs & DVDs), Bridal/Wedding, Candles, Candle Holders & Accessories, Decorative, Handmade-American, Scented, Seasonal, Special Occasion, Candy, Collectibles, Souvenirs, Decorative Accessories, Decorative Pillows, Figurines, Handmade, Lighting/Lamps/Shade, Mobiles, Seasonal/Holiday, Wall Decor, Design, Decor, Furnishings, Signs, Dolls/Dolls Accessories, Engraving, Environmentally Friendly/Natural/Recycled Products, Fashion Accessories, Holiday/Seasonal, Home Textiles, Inspirational/ Motivational/ New Age, Jewelry, Made In USA, Magnetics, Mugs/ Insulated Containers, Museum Store Resource, Nature/ Wildlife Products, Nautical Gifts, Paper, Plastic, Tablewares, Religious, Retail Services, Seashell Items, Souvenirs/ Novelty/ Trend, Swimwear, Tabletop, Windchimes",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119543
6,The Battery Show 2021,"September 14, 2021 - September 16, 2021",Novi U S A North America,"Automotive Components, Battery Assembly, Battery Components, Battery Management Systems, Battery Materials, Battery Pack Assembly /Integrator, Business Sevices, Cabling Connectors, Charging Infrastructure, Coil Winding, Component Manufacturing, Contract Manufacturing, Distributors, Drivetrain, Engineering Services, Fuel Cell, Load Banks, Logistics & Shipping, Machine Components, Magnetics, Maintenance Services, Manufacturing Equipment, Motors & Drives & Controllers, Power Distribution, Power Electronics, Power Generation, Power Monitoring, Prototyping, Renewable Energy Systems, Research & Development(R&D), Simulation, Software, Testing Services, Thermal Management, Vehicle Manufacturing",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119544
7,EMS WORLD EXPO 2021,"October  4, 2021 - October  8, 2021",Atlanta U S A North America,"Administrative/Business Services, Airway & Respiratory Products, Ambulance & Vehicle Components, Ambulance & Vehicles, Apparel/Uniforms, Associations & Non-profits, Cardiac, Communications/Dispatch, Computer Software/Hardware, Diagnostic Medical Equipment, Distributors, Education & Training, Employment & Recruitment, EMS Gifts & Novelty Items, Facility Equipment & Management, Health, Fitness, Self Care, Inventory Control, MCI/Disaster Response, Medical Equipment & Supplies, Patient Handling, Pharmaceuticals, Rescue & Extrication",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119535
8,CEDIA EXPO,"September  1, 2021 - September  3, 2021",Indianapolis U S A North America,"Accessories, Equipment, Tools & Materials, Audio/Video Equipment, Home Technology/Automation/Control Systems, Home Theater, Lighting and Window Treatments, Networking, Other, Security and Protection, Video",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119531
9,BioProcess International,"September 20, 2021 - September 23, 2021",Boston U S A North America,BioProcess related techniques and services.,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119529
