,EventName,Date,City/Country,Exhibits,URL
0,Premiere Vision Paris,"September 21, 2021 - September 23, 2021",Paris France Europe CIS,"Apparel fabrics, Yarn, Fiber, Leather, Fur, Textile design, Accessory and Manufacturing.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119881
1,International Paris Air Show 2021 ( Cancelled),"June 21, 2021 - June 27, 2021",Paris France Europe CIS,"Aircraft: construction, assembly and sub-assemblies, Space, satellites, telecommunications, Propulsion units and specific equipment for motors, Air-launched and ground-based weapons, Piloting and navigation aids and on-board equipment systems, Cabin fittings and seats, Production equipment, tools and software,Electrical, electronic, mechanical and metalwork subcontracting, Composite materials and surface treatments, Maintenance, after-sales service and spares, and transport, Services, Airport equipment and services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106816
2,MIPIM 2021,"September  7, 2021 - September  8, 2021",Cannes France Europe CIS,"hospitality, hotel investments and tourism real estate,  Investment in proptech, medical and healthcare property sector, Innovation & Tech,",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110298
3,JEC World 2022,"March  8, 2022 - March 10, 2022",Paris France Europe CIS,"Aerospace,  Automotive & Road,  Transportation/Building & Civil Engineering/Defence, Security & Ballistics, Design, Furniture & Home , Electrical, Electronics, Telecoms & Appliances, Equipment & Machinery, Maritime Transportation & Shipbuilding, Medical & Prosthetics, Oil & Gas, Pipe & Tanks, Water Treatment & Sewage, Renewable Energy,  Railway Vehicles & Infrastructure, Sports, Leisure & Recreation (excl. Maritime)",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110297
4,Salon du Sake 2021 European Fair for Sake and Japanese Beverages,"October  2, 2021 - October  4, 2021",Paris France Europe CIS,"Japanese Sake and other Beverages. Japanese food, craft arts, tourisme and cosmectics related to the Sake",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119328
5,ideobain 2021,"November 15, 2021 - November 19, 2021",Paris France Europe CIS,"Bathroom equipment and plumbing, Smart building equipment, sanitary fixtures, sanitary faucets, showers, hydroelectricity, bathroom equipment, bathroom accessories, spas, electronics, materials, outlets, software equipment, electric radiators.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110481
6,Yachting Festival Cannes,"September  7, 2021 - September 12, 2021",Cannes France Europe CIS,"Motor Boats, Sailing Boats, Semi-rigid, Hull type, Multihulls, Monohulls, BUILDERS, SERVICES, ARCHITECTURE, MOTOR BOAT MANUFACTURERS, NAUTICAL SERVICES, NAVAL ARCHITECTURE & DESIGN, LUXURY, CRAFTS & ART OF LIVING, BROKERAGE & CHARTER, TOYS, NAUTICAL EQUIPMENT, PRESS, EDITIONS & MEDIA",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119709
7,MCB by BS MCB by Beaute Selection,"September  4, 2021 - September  6, 2021",Paris France Europe CIS,"cosmetics, furniture, services, accessories, tools, hair & beauty equipment,and more",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119708
8,Cartoon Forum,"September 20, 2021 - September 23, 2021",Toulouse France Europe CIS,Pitching & co-pro forum for animated TV projects,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119707
9,SIRHA 2021,"September 23, 2021 - September 27, 2021",Lyon France Europe CIS,"Bakery, Pastry, confectionery, rlated equipments, new technologies, cafe & bars, tableware, hotel equipment, kitchen equipment, transport, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106058
10,BATIMAT 2022,"October  3, 2022 - October  6, 2022",Paris France Europe CIS,"Indoor fittings, Outdoor fittings, Joinery & Closures, Worksite equipment & tools, Construction Tech, Structure & Envelope",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110479
11,Interclima 2022,"October  3, 2022 - October  6, 2022",Paris France Europe CIS,"Heating and Hot Water Systems, Air Conditioning, Cooling, Ventilation and Air Quality, Pumps, Valves and Fittings, Water Treatment and Technical Solutions, Electrical & Smart Buildings, Professional Services & Organizations",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110482
12,Pharmapack 2021,"October 13, 2021 - October 14, 2021",Paris France Europe CIS,"Packaging design / engineering, Packaging materials and components, Primary packaging & drug delivery device technologies, Automation and assembly systems, Packaging machinery and production equipment, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110129
13,37th Franchise Expo Paris 2021,"September 26, 2021 - September 29, 2021",Paris France Europe CIS,Advertising/Automotive Services & Products/Business Consultant/Business Services/Computer/Courier/Educational Institution/F & B/Fashion/Game Center/Healthcare/Laundry & Dry Cleaning/Property/Photography/Personal Care & Beauty/Refill Center/Restaurant/Retail/Recreation/Tour & Travel.,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110503
14,"INTERMAT Paris 2021 (Postponed to April, 2024)","April 19, 2021 - April 24, 2021",Paris France Europe CIS,"Equipment for Preparation and Treatment of Construction Materials, Tools, Machinery; Equipment and Components for Construction and Civil Engineering Work Site.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108097
15,MAISON OBJET PARIS 2021,"September  9, 2021 - September 13, 2021",Paris France Europe CIS,"Coverings, Decorative item, Fashion accessories, Fragrances & wellness, Furniture, Home Fabrics, Hospitalities & Contracts, Kids, Kitchen, Lighting, Outdoor, Rugs, Tableware, Workplace",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119246
16,MAISON OBJET PARIS 2021 ( Canceled),"March 26, 2021 - March 30, 2021",Paris France Europe CIS,"Smart Gift, Fashion Accessories, Kids & Family, Cook & Share, Home Accessories, Home Fragrances, Home Linen, Craft - metiers dart, Unique & Eclectic, from contemporary to design-oriented interior, Workplaces: designing today's hybrid living spaces, Technical and decorative solutions: the musts for any project, Interiors with character: the very essence of decoration",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109063
17,Equip Auto 2022,"October 18, 2022 - October 22, 2022",Paris France Europe CIS,"Bodywork, paintwork, Professional, standards, certification bodies, Service networks, Tires, accessories, customization, Petroleum products, lubricants, care car products, Repair, maintenance, diagnostic, Service and washing aeras/Tow, Services for professionals, Vehicle equipment/Subcontracting/T&S",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119343
18,Annecy Festival 2021,"June 14, 2021 - June 19, 2021",Annecy France Europe CIS,Animation film,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119304
19,Marche du Film (Festival de Cannes),"May 11, 2021 - May 20, 2021",Cannes France Europe CIS,Motion picture films.,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110592
20,PharmagoraPlus,"June 26, 2021 - June 27, 2021",Paris France Europe CIS,"Accessories, optics, orthopedics, MAD, Fitting, merchandising, Automation, Robots, PDA , Beauty and well-being, Assignment, Transaction, Distribution, import / export, Wholesaler distributors, unions, institutions, associations, Groups, Press, Health, laboratories, medical devices, Services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110299
21,Salon Body Fitness,"March 28, 2021 - March 30, 2021",Paris France Europe CIS,"Material & equipment, Installation, Digital & IT, Institutions, clubs & federations, Accessories & small equipment, Health & well-being, Sports & diet nutrition, Concepts & demonstration, Services & advice, Press & media, Jobs & training, Fashion & sportswear, Business sport, Consulting company in technical installations, Other",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110302
