,EventName,Date,City/Country,Exhibits,URL
0,FIBO 2021,"November  4, 2021 - November  7, 2021",Koeln (Cologne) Germany Europe CIS,"Fitness/Training Equipment, FIBOmed/Health Promotion, Consulting/Marketing, Hardware and Software, Finance/Insurance, Studio Furniture, Wellness, Beauty, Sauna, Sunroom, Sporting Goods, Sporting Goods, Nutrition, Group Fitness, Marshall Arts, Publishers, Organizations, DVD",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110390
1,LASER World of PHOTONICS 2022,"April 26, 2022 - April 29, 2022",Muenchen(Munich) Germany Europe CIS,"Laser and Optronics, Optics, Sensors Test and Measurement, Optical manufacturing technology, Laser production engineering, Laser Medical and bio technology, Imaging and Illumination, Services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106076
2,RECYCLING TECHNIK Dortmund 2021,"February 16, 2022 - February 17, 2022",Dortmund Germany Europe CIS,"Air separators, Biowaste & Sludge, Bulk packaging and packaging services, Combined transport / multimodal transport, Demolition / recycling of building materials, Dosing, weighing and measurement equipment, Dryers and dry equipment, Federations and media (Solids) , Further resource, General , Glass, Grinding and shrinking, Internal and external transport and equipment, Mechanical engineering, construction & equipment, Media & Associations- Recycling, Mixing & homogenization, Paper / Cardboard, Plastics, Process automation, Quality control, samples and research, Safety and environment, Scrap / Metal, Separators, sieves and filters, Services / Environmental services, Warehousing and transshipment, Waste / Residues, Wood",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109544
3,"INTERSCHUTZ International trade fair for fire rescue, civil protection and security","June 20, 2022 - June 25, 2022",Hanover (Hannover) Germany Europe CIS,"Fire Engines, Rescue Vehicles, Extinguishing Appliances, Extinguishing Agents, Firefighting Equipment, Disaster Control, Emergency Services, First-aid and medical equipment, Protective Clothing, Measuring Equipment, Signaling Equipment, Fire Alarm Systems, Environment Protection, Fire Protection.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/50814
4,Intersolar Europe 2021,"July 21, 2021 - July 23, 2021",Muenchen(Munich) Germany Europe CIS,"photovoltaics, solar thermal technologies, solar plants, as well as grid infrastructure and solutions for the integration of renewable energy",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107792
5,EES Europe 2021 Electrical Energy Storage,"July 21, 2021 - July 23, 2021",Muenchen(Munich) Germany Europe CIS,"Energy Storage Technologies,Energy storage system components and equipment, Energy storage systems, Battery production technologies,machine and plant construction, Grid infrastructure and solutions for the integration of renewable energy, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107740
6,Tire Technology Expo 2021 ( Cancelled),"June  8, 2021 - June 10, 2021",Hanover (Hannover) Germany Europe CIS,"Tire Building Machine Technologies, Tire Cord Systems, Tire Design and Simulation Software, 3D Laser Surface Texturing, Additives, Conveying systems, Elastomers, Hydraulic drives, Hydraulic drives,  Inspection systems, Power transmission belts, Robotic handling systems, Rubber mixing technology, Rubber testing equipment, Tire molds, Tire component making systems, Tire testing machinery, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110022
7,Automotive Interiors Expo 2021,"November  9, 2021 - November 11, 2021",Stuttgart Germany Europe CIS,"automotive interior materials, Masterbatching and plastics compounding, Plastic injection and plastic moulded components, Foams and shape-forming materials, Yarns and threads, sewing and stitching machines, Fabrics, cloth and liners, Decorative textile, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/100356
8,2nd Virtual MedtecLIVE,"April 20, 2021 - April 22, 2021",Nuernberg Germany Europe CIS,medical technology,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109789
9,FRUIT LOGISTICA Berlin and Online 2021,"May 18, 2021 - May 20, 2021",Berlin Germany Europe CIS,"Fresh fruit/vegetable, Dried fruits/nuts, Packaging/labelling, Transport, logistical systems, Produce handling, storage, Press/media, Computer/internet solutions, Cultivation systems.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110014
