,EventName,Date,City/Country,Exhibits,URL
0,"ACCADUEO H2O International Water Exhibition Technologies, Treatment, Distribution, Sustainability","July  6, 2021 - July  8, 2021",Bologna Italy Europe CIS,"Design, large scale urban hydraulic works, non polluting plants, drainage works, water schemes, waste water treatment, accessory systems and instrument for measurement and analysis, drainage systems, information and telecommunication systems equipment, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109074
1,ENOLITECH 2022,"April 10, 2022 - April 13, 2022",Verona Italy Europe CIS,"Vine and Olive Nursery, Plant and Materials for Vine and Olive Growing, Harvesting Machines and Working Equipment, Machinery and Equipment for Production, Bottling, Packaging, Packing and Transport Glasses, Equipment and Accessories for Cellar and Wine collection, Trade Press and Services.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109869
2,VINITALY International Wine Spirits Exhibition,"April 10, 2022 - April 13, 2022",Verona Italy Europe CIS,"ITALIAN DOCG / DOC / IGT WINES, INTERNATIONAL WINES, OTHER WINES, SPIRITS AND GRAPPAS, SERVICES",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109872
3,RemTech Expo,"September 20, 2021 - September 24, 2021",Ferrara Italy Europe CIS,"contaminated sites remediation and territory protection and requalification, regulatory evolution, characterization, risk analysis, remediation technologies, research, innovation, monitoring, environmental controls, industry, sustainability",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119682
4,Salone del Camper 2021,"September 12, 2021 - September 19, 2021",Parma Italy Europe CIS,"ACCESSORIES AND COMPONENTS FOR PLEIN AIR, ACCESSORIES AND COMPONENTS FOR RECREATIONAL VEHICLES AND CARAVANS, ACCESSORIES AND COMPONENTS FOR TENTS, INSURANCE, FINANCING AND SERVICES, BICYCLES AND ACCESSORIES, MOBILE HOMES AND CELLS, MOPEDS, MOTORCYCLES AND ACCESSORIES, CLUBS AND ASSOCIATIONS, DEALERS, PRESS, GOLF, FORNITURES AND ACCESSORIES, NAUTICA AND ACCESSORIES, OUTDOOR, EQUIPMENT FOR CAMPING AND STOPOVERS, TRAILERS, TENTS, TURISM, VARIOUS, BASIC VEHICLES, RECREATIONAL VEHICLES",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119683
5,Cosmoprof Worldwide Bologna 2021,"September  9, 2021 - September 13, 2021",Bologna Italy Europe CIS,"Beauty industry, from raw materials to the finished product. Contract&Private Label Manufacturing, Machinery&Packaging, Ingredients&RAW Materials, Cosmoprime, Cosmetics&Toiletries, Green&Organic, Professional Hair, Beauty&SPA, Nailworld",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109503
6,136th Veronafil,"May 21, 2021 - May 23, 2021",Verona Italy Europe CIS,"Philately, Numismatics, Postcards, Phonecards, Small Antiques, Art and Antique Books, Hobbies Militaria, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119242
7,MIART 2021,"September 17, 2021 - September 19, 2021",Milano Italy Europe CIS,Modern and Contemporary Art.,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110397
8,COSMOFARMA EXHIBITION,"June 22, 2021 - June 25, 2021",Bologna Italy Europe CIS,"Pharmaceutical, Parapharmaceutical, Health Care, Dermocosmetics, Natural Products, Nutrition, Dieting, Services for Pharmacies, IT, packagingetc, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109868
9,Si Sposaitalia Collezioni,"May 21, 2021 - May 24, 2021",Milano Italy Europe CIS,"wedding dresses, men's formal wear, women, children and accessories.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109871
