,EventName,Date,City/Country,Exhibits,URL
0,Packaging Innovations 13th International Packaging Trade Fair,"September 15, 2021 - September 16, 2021",Warsaw Poland Europe CIS,"PACKAGING: carboard, glass, plasticis, metal packagings, COMPONENTS: packaging components: clousers, cork, lids, dispensers, gaskets, fresh-air valves, droppers, PRINT FINISHING, POS & DISPLAYS, LABELLING: labels, shrink sleeve, bands, LOGISPACK: logistic packaging, packaging for e-commerce, SERVICES: confectioning and storage services,  software: packaging design, MACHINES: labeling devices, devices for folding packaging, filling, plotters, balers, ECO: ecological packaging, recycling services, recovery organizations, LUXPACK: offer addressed to the premium sectors: cosmetics, alcohol, gift sets",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110423
1,Warsaw Industry Week International Trade Fair of Innovative Industrial Solutions,"June  8, 2021 - June 10, 2021",Warsaw Poland Europe CIS,"metalworking machines, woodworking machines, cutting machines, CNC machine tools, plastic forming machines, laser and water cutting machines, lathes, machining tools, CAD / CAM systems, software is presented for industry",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119485
2,Fast Textile International Textile Trade Fair,"November 17, 2021 - November 19, 2021",Warsaw Poland Europe CIS,"Woven and knitted fabrics, Accessories and tailoring accessories, Machines, Services, Home textiles, Advertising textiles, Workshops, courses, training, Finished product, Upholstery textiles, Industry media",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119749
3,"WARSAW METALTECH Metal Processing, Machine Tools and Tools Fair","November  3, 2021 - November  5, 2021",Warsaw Poland Europe CIS,"Plasma Cutters, Laser Cutters, Metalworking machinery, equipment and technology, Technological instrumentation of machine tools",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119748
4,Warsaw Build International Architecture and Finishing Materials Fair,"October 27, 2021 - October 30, 2021",Warsaw Poland Europe CIS,"Bathrooms - tiles, spa & wellness, fittings; Interior finish - doors, floors, stairs, walls, fireplaces; Exterior - windows, constructions, roofs, facades, gates, surfaces",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119746
5,Warsaw Home Contract Interior Design Contract Fair,"October 27, 2021 - October 30, 2021",Warsaw Poland Europe CIS,"selected design, selected furniture, kitchen, component, light, textile",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119745
6,Warsaw Print Tech Expo POLIGRAPHIC INDUSTRY TRADE FAIR,"October 27, 2021 - October 28, 2021",Warsaw Poland Europe CIS,"Printing Machines, Innovative Solutions, Software, services, Printing 3D",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119747
7,"Warsaw Sweet Tech Fair of Solutions for the Cafe, Confectionery and Ice Cream Industry","October 19, 2021 - October 20, 2021",Warsaw Poland Europe CIS,"cafe, confectionery and ice cream industries",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119744
8,BIOEXPO Warsaw Organic food and products trade fair,"September 30, 2021 - October  2, 2021",Warsaw Poland Europe CIS,"natural remedies, organic, organic farming, organic food",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119743
9,BEAUTY FORUM HAIR The largest trade fair for the cosmetics and hairdressing industry,"September 25, 2021 - September 26, 2021",Warsaw Poland Europe CIS,"cosmetics, hair cosmetics, beauty trends",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119742
10,EuroGastro WorldHotel Gastronomy and hotel fair,"September  1, 2021 - September  3, 2021",Warsaw Poland Europe CIS,"Culinary, confectionery, bartending, barist",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119741
