,EventName,Date,City/Country,Exhibits,URL
0,RosUpack 25th International Exhibition for the Packaging Industry,"June 15, 2021 - June 18, 2021",Moscow Russia Europe CIS,"Equipment, Packaging, Containers, raw and expendable materials, Labelling, Logistics and warehousing.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108171
1,Radel XXI INTERNATIONAL EXHIBITION ELECTRONICS INSTRUMENTATION,"September 21, 2021 - September 24, 2021",St Petersburg Russia Europe CIS,"ELECTRONIC COMPONENTS AND PARTS, PRINTED CIRCUIT BOARDS, ELECTRONICS CONTRACT MANUFACTURING,ELECTRONICS MAINTENANCE AND REPAIR, 3D-PRINTED ELECTRONICS, STRUCTURAL ELEMENTS, PIECES OF TECHNOLOGY, WORK MATERIALS, INDUSTRIAL ENVIRONMENT, ANALYTICAL, MEASUREMENT AND TEST INSTRUMENTS, TEST EQUIPMENT AND SYSTEMS, LIGHT ENGINEERING, ROBOTICS",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119719
2,OTDYKH 2021 International Trade Fair for Travel Tourism,"September  7, 2021 - September  9, 2021",Moscow Russia Europe CIS,"National tourism offices, Regional tourism boards, Tour operators and DMC companies, Accommodation facilities, Airlines and airports, Transportation companies, IT companies, Online booking systems, MICE agencies, Health centres and resorts, Medical centres, Museums, Natural reserves, Ski resorts, Travel agencies, Insurance companies, Payment systems, Banks",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119718
3,MIR DETSTVA 2021,"September 21, 2021 - September 24, 2021",Moscow Russia Europe CIS,"Goods for newborns and infants, Games, toys, hobby supplies, Creativity and design, stationery, Licensed goods for children, Licensors / right holders, trade mark and brand owns, School products, Supplementary education for children, Children's furniture, furniture and equipment for preschools, Sports equipment and facilities, multifunctional equipment for playgrounds, Everything for Christmas and New Year celebrations",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119717
4,GRAND EXPO URAL,"September 21, 2021 - September 24, 2021",Ekaterinburg Russia Europe CIS,"WOODWORKING EQUIPMENT, SPECIALIZED MEDIA, FORESTRY MACHINESAND TECHNOLOGIES,  SOFTWARE,  PAINTS AND VARNISHES, TRADE UNIONS, PROFESSIONAL TRAINING, JOINERY AND CARPENTRY, TABLES, CHAIRS, ACCESSORIES AND COMPONENTS, CABINETRY,  HOME DECORATION, DINING SETS,  SOLID WOOD FURNITURE, BEDROOMFURNITURE,  OFFICE FURNITURE, FURNITURE FOR PUBLIC PLACES, WASTE SEPARATION& STORAGE, WATER SUPPLY, RECYCLING OF TIRES,VEHICLE RECYCLING,  WASTE COLLECTION & TRANSPORTATION, PUMPS, LATEST  WASTE TREATMENT TECHNOLOGIES, WASTE TREATMENT",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119716
5,"CeMAT Russia International Exhibition for materials handling, warehousing equipment and logistics","September 21, 2021 - September 23, 2021",Moscow Russia Europe CIS,"mechanical handling, warehouse technology and workshop equipment, packaging and order picking equipment, loading technology, entire systems for materials handling technologies, warehousing technology, intralogistics, systems and software for intralogistics, logistics services and outsourcing",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119715
6,BUYBRAND EXPO 2021 international franchising exhibition,"September 22, 2021 - September 24, 2021",Moscow Russia Europe CIS,"Catering, Retail chains, Services, Manufacturing franchise, Licensing, Suppliers, Governmental Organizations, National Franchise Associations, SMI, Hotels, Other",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119714
7,SibWoodExpo 2021,"September  8, 2021 - September 10, 2021",Irkutsk Russia Europe CIS,"Equipment and technologies for forest management, logging equipment and machinery, forest transportation, tools and implements for forestry, instruments and devices for measuring and recording, control facilities, Sawmills, wood-sawing machines and equipment, Equipment for the manufacture of forest products, Equipment for conditioning and compensatory wood aging, Tools and implements for woodworking, Robotics, Designing and construction of wooden houses, Means of protection, finishing and care of wood, Furniture Equipment, machines, tools, Furniture fittings and components, upholstery and paint-and-lacquer materials, materials and new technologies for furniture production, automation programmes, Construction and finishing materials based on wood and wood waste, pulp and paper products, Equipment for manufacturing of biofuel (fuel briquettes, pellets (granules)), Equipment for preparation, transportation and storage of wood waste, Investment and leasing structures, banks, and others",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119720
8,REKLAMA 2021 28th International Exhibition for Advertising,"October 18, 2021 - October 21, 2021",Moscow Russia Europe CIS,"Advertising gifts and promotional products, Prizes and awards, Stationery, Games, Promotional printing, Packaging for promotional items, Leather goods",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108940
9,KINO EXPO XXII INTERNATIONAL EXHIBITION,"September 15, 2021 - September 17, 2021",St Petersburg Russia Europe CIS,"Showcasing content for cinemas, TV, new digital media, DVD/BD, rights trading, Distribution - cinemas, TV, digital, DVD/BD, Equipment, technologies and services for film/TV production, post production, visual effects: Film production / post production studios/Cameras and auxiliary equipment, camera support/Lighting and sound equipment/Digital film production and post production equipment and software, visual effects, digital intermediate/ Film, film processing and storage, telecine equipment, Innovations for content creation, distribution and marketing, Locations, financial incentives, film commissions, VR: technologies and content, Marketing, Delivery - technologies and services, Licensing",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108775
10,Heat Treatment 2021 14th International Specialized Exhibition on Technologies and Equipment for Heat Treatment,"September 28, 2021 - September 30, 2021",Moscow Russia Europe CIS,"Design and product design, Modeling, prototyping, 3D equipment and technologies, Pattern equipment, Blank production, Equipment for foundry: molding and core, mixture preparation and regeneration of mixtures, Equipment for centrifugal casting, pressure casting, equipment for LGM and LVM, Forging and pressing equipment: stamping, punching, cutting, Electrophysical and electrochemical methods of dimensional processing of metals and nonmetals, Modification, Surface treatment,The control and measuring equipment, Integrated technical solutions for the diagnosis, reconstruction and modernization of equipment",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106994
11,Meat and Poultry Industry Russia VIV,"May 17, 2021 - May 19, 2021",Moscow Russia Europe CIS,"Agricultural premises, Animal Health, Feed ingredients and additives, Feed, Animal breeding, Animal housing & farm equipment, BIO energy, Slaughtering and primary processing equipment, Meat processing equipment and technologies, Refrigerating and freezing equipment, Specialized transport and logistics, Packaging technologies and equipment, labeling, Production ecology, Meat products and semi-finished products, Weighing equipment and weighing lines, Raw materials for the production of meat products and finished products, Meat ingredients, Automation services, IT, Special clothing, Crediting, consulting, scientific activities",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119207
12,100 TechnoBuild,"October  5, 2021 - October  7, 2021",Ekaterinburg Russia Europe CIS,"Innovative Technologies and Equipment, Development, Architecture, Urban Planning, Modern Construction Materials, Construction Machinery, Building Information Modeling (BIM) and Digital Technologies",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119138
13,InterAuto 2021 International exhibition of automotive industry,"August 24, 2021 - August 27, 2021",Moscow Russia Europe CIS,"Automotive engines and components, Engineering and technologies for automotive industry, Raw materials and materials for production of components, Garage and diagnostic equipment, tools, Equipment and tools for car body repair, Equipment and components for car wash stations, Equipment and gears, Paint and lacquer materials, Car chemistry, oils, Automotive electrics and electronics, Security and anti-theft systems, Tires and tire repair, rubber articles, Automotive accessories",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119503
14,AquaPro Expo 2021,"April 12, 2021 - April 14, 2021",Moscow Russia Europe CIS,"Commercial shipbuilding, Equipment of vessels: navigation, deck, fishing, electronic equipment, Fishing gear, Protective and rescue equipment, overalls, Equipment and technologies for the construction and equipping of fish farms, Water control and purification systems, Feed and biological products, Planting material, Primary fish processing equipment, Equipment for the processing of caviar and seafood, Packing equipment: vacuum, heat shrink, tin, plastic. Corrugated and glass containers, labels, Weight control equipment, Equipment for processing fish waste,Refrigeration equipment, Transportation equipment, Washing equipment, Warehouse and industrial automation, Insurance and financial services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110289
