,EventName,Date,City/Country,Exhibits,URL
0,SFH 2021 Seoul Food Hotel 2021,"June 27, 2021 - June 30, 2021",Goyang Korea Asia,"Meat, Wine&Spirits, Dairy, Fresh Produce, Snacks & Confectionery, Drinks, Seafood, Halal, Food Ingredients, Organics, Edible Oil, Specialty Tea & Coffee, Bakery & Pastry, Beer, Processed Food, Frozen Food, Cold Chain & Logistic, Food service Equipment, Food service & Technology, Hotel, Restaurant Design & Deco",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110462
1,IFS 2021 International Franchise Show in Seoul Fall 2021,"October 14, 2021 - October 16, 2021",Seoul Korea Asia,"Restaurant, Fast-food, Snack, Cafe/Tea, Bakery/Dessert, Pubs/Bars, Take-away/Delivery, Convenience store, Supermarket, Cosmetics/Fashion, Household goods/Stationery, Pet Store, Self-service Shop, Specialist outlets, Education, Entertainment/Game, Beauty/Health, Senior care, Living convenience, Automotive, Finance, Insurance, Law, Marketing, Retail equipment/Technology, Payment/Security system, POP/Signage, Furniture/Interior, Store supplies, Business consulting, Accounting/Tax services, Others",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119846
2,IFS 2021 International Franchise Show in Seoul Summer 2021,"July  1, 2021 - July  3, 2021",Seoul Korea Asia,"Restaurant, Fast-food,  Snack, Cafe/Tea, Bakery/Dessert, Pubs/Bars, Take-away/Delivery, Convenience store, Supermarket, Cosmetics/Fashion, Household goods/Stationery, Pet Store, Self-service Shop, Specialist outlets, Education, Entertainment/Game, Beauty/Health, Senior care, Living convenience, Automotive, Finance, Insurance, Law, Marketing, Retail equipment/Technology, Payment/Security system, POP/Signage, Furniture/Interior, Store supplies, Business consulting, Accounting/Tax services, Others",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119844
3,KOREA MAT 2021 Materials Handling Logistics Exhibition,"May 25, 2021 - May 28, 2021",Goyang Korea Asia,"Transportation, Logistics Service, Last Mile Delivery, E-Commerce, SCM Solution, Cold-Chain Solution, Bio Logistics, Automation, Robot, Fulfillment, Warehousing System, Materials Handling, Transport Vehicle",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109829
4,KOREA LAB 2021 Korea Int'l Laboratory Analytical Equipment Exhibition,"April 13, 2021 - April 16, 2021",Goyang Korea Asia,"BASIS LABORATORY, LABORATORY SAFETY, MEASUREMENT AND ANALYSIS, BIO, LIFE AND FOOD SCIENCES, RND CONVERGENCE TECHNOLOGY AND EQUIPMENT, WATER, AIR AND ENVIRONMENTAL TECHNOLOGY & RESEARCH EQUIPMENT",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109828
5,KOREA PHARM BIO 2021 Pharmaceutical Bio Pharma Exhibition,"May 25, 2021 - May 28, 2021",Goyang Korea Asia,"Pharmaceuticals, Ingredients, Health Ingredients, Biopharmaceuticals, Contract Services & Outsourcing, Analytical / Consulting / Service, Smart Healthcare, Pharmaceutical Bio New Technology, Organizational PR, Media",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109830
6,"COPHEX 2021 Cosmetic , Pharmaceutical , Bio Process Technology Exhibition","May 25, 2021 - May 28, 2021",Goyang Korea Asia,"Biopharma Manufacturing, Cosmetic Manufacturing, Packaging Machinery & Materials, Supply & Transfer Equipment and Machinery, Inspection/Testing Equipment, Water Treatment, Environmental Control Technology",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109825
7,ESS EXPO 2021 (Energy Storage System EXPO),"June 16, 2021 - June 18, 2021",Goyang Korea Asia,"Energy Storage Technology, Energy Storage System Components and Devices, Energy Storage System, Control Engineering for Optimal Energy Consumption",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110224
8,GREEN NEW DEAL EXPO 2021,"June 16, 2021 - June 18, 2021",Goyang Korea Asia,"New Renewable Energy, Low Carbon Industry, Carbon Energy Industry, Technology, Market, Policy Information",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110225
9,EXPO SOLAR 2021 PV KOREA,"June 16, 2021 - June 18, 2021",Goyang Korea Asia,"Solar Cell, Module Production Equipment, photovoltaic Material/Components, Solar Power/Plant System",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110223
10,SEOUL FOOD 2021 International Food Industry Exhibition,"July 27, 2021 - July 30, 2021",Goyang Korea Asia,"Food processing machinery, Kitchen appliances&furniture, Food transportation equipment, Food preservation technology, Logistic machinery and Service, Restaurant machinery, Packaging materials, Packaging container, Packaging processing machinery, Food, Ingredients, Premium food, Beverage, Dessert, and more.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119377
11,ENTECH 2021 15th Environment Energy Tech,"September  1, 2021 - September  3, 2021",Pusan Korea Asia,"Environment: Water, Waste Treatment, Air, Anti-Pollution Energy: Renewable(wind, solar, filecell, geothermal, biomass), Electricity, Gas, Photovoltaic (Solar Energy), Power Generation, Energy Efficiency, Hydrogen Energy, Measurement & Analysis Device, ESCO, Pubilc Sector",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119376
