,EventName,Date,City/Country,Exhibits,URL
0,MWC Barcelona 2021 Mobile World Congress,"June 28, 2021 - July  1, 2021",Barcelona Spain Europe CIS,"Device Manufacturer; Integrated Solution Vendor;Hardware Manufactuer; Mobile Content Provider; Mobile (Virtual) Network Operator;VAS Reseller; Network Infrastructure Vendor; AI, Connectivity (5G), Customer Engagement, IoT, Media & Entertainment, Our Planet, Security & Privacy, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119887
1,IT Industry Tools by Ferroforma,"October 26, 2021 - October 28, 2021",Bilbao Spain Europe CIS,"INDUSTRY AREA; hand tools, Industrial Supply, Ironmongery and fittings, Electro Tool - Portable, Woodworking machinery, Building Supplies, Auto Supplies.HOME AREA; Domestic Locksmith, Hardware, Decoration, Bath, Plumbing, Lighting, Garden, Textile, DIY automotive products.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119177
2,4YFN 2021 Barcelona,"June 28, 2021 - July  1, 2021",Barcelona Spain Europe CIS,"the startup event of the world largest exhibition for the mobile industry, GSMA MWC: Information communication technology (unique connecting initiatives, such as custom networking activities, technical abilities workshops, congresses, community outreach and open innovation programmes, etc.)",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119230
3,ISE 2021 Integrated Systems Europe,"June  1, 2021 - June  2, 2021",Barcelona Spain Europe CIS,AV and systems integration,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109734
4,Mindtech 2021 Metal Industry and Technologies International Trade Fair,"September 14, 2021 - September 16, 2021",Vigo Spain Europe CIS,"Machinery, machining and tools, automobile components, aviation components, molds, robotics, electrical / electronics, technologies 4.0, logistics and transport, welding, painting, surface processing, metal constructions and structures, industrial refrigeration",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119861
5,MATELEC 2021 ( Cancelled) International Exhibition of Solutions for the Electrical and Electronic Industry,"May  4, 2021 - May  7, 2021",Madrid Spain Europe CIS,"Electrical installations, Switchgear, Mechanisms, Cables and Conductors, Electronics, Electric Vehicle, Telecommunications and Networks, Medium Voltage Equipment, Lighting, Smart Cities, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/105858
6,"VETECO International Trade Show Window, Facade Sun Protection Systems","May  4, 2021 - May  7, 2021",Madrid Spain Europe CIS,"Windows, Structural Glass, Curtain Walls, Ceilings, Sunroofs, Glass, Sun Protection Systems, Automatic Doors, AutomatedProducts, Tools, Accessories, Machinery, Associations, Media",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/105864
7,IOT Solutions World Congress 2020,"October  5, 2021 - October  7, 2021",Barcelona Spain Europe CIS,"Manufacturing industry,infrastructure,transportation,energy,healthcare,ICT,open industry, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108822
8,EXPOFRANQUICIA 2021 International Franchising Trade Fair,"September 16, 2021 - September 18, 2021",Madrid Spain Europe CIS,"Beautician, Beauty Center, Hairdressing Salon, Perfumery, Sports Club, Beerhose, Coffee Shops, Fast Food, Other Specialized Food Services, Sandwich Bar, Tapas Bar, Theme Restaurant, Decoration and Household goods, Childen and teenager's Fashion, Fashion Jewellery, Footwear and Leather Goods, Jewellery, Lingerie, Men's Fashion, Women's Fashion, Telecom, Computer, Dry-Cleaner, Education and Training, Free Time and Leisure Activities, Internet, Laundry Service, Other Specialized Trade, Stationery and Office Supplies, Supermarkets, Bakery, Cakes and Pastries, Delicatessen, Dietetics and natural products, Ice-Cream Shop, Miscellaneous Foodstuffs, Assistance Services, Car Services, Financial Services, Real State Services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119176
9,in cosmetics Global 2021,"October  5, 2021 - October  7, 2021",Barcelona Spain Europe CIS,"Raw materials for cosmetics and daily necessities, fragrances, cosmetic manufacturing equipment, measurement equipment, contract manufacturing, contract analysis and testing, and trade journals",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110437
