,EventName,Date,City/Country,Exhibits,URL
0,Ai Everything,"October 17, 2021 - October 21, 2021",Dubayy(Dubai) U A E Middle East,AI-related technologies and products,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119200
1,Sleep Expo Middle East,"October 26, 2021 - October 28, 2021",Dubayy(Dubai) U A E Middle East,"Mattress, Mattress Machinery, Sleep technology and Accessories, Bed Linen, and Sleeping Aids suppliers and distributors, innovations, and solutions,  finished products including mattresses, pillows, duvets etc, raw materials and machinery in the sleep and bedding market",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119722
2,Medlab Middle East 2021,"June 21, 2021 - June 24, 2021",Dubayy(Dubai) U A E Middle East,"Healthcare Equipment & Device, IT Systems / Solutions, Imaging & Diagnostics, Laboratory Devices, Diagnostic Tests, Laboratory Disposables & Consumables, Laboratory Equipment, Laboratory Instruments, Reagents & Chemicals, Laboratory Sterilization, pharma & Supplements, Healthcare & General Services",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109969
3,Automechanika Dubai 2021,"December 14, 2021 - December 16, 2021",Dubayy(Dubai) U A E Middle East,"Parts & Components, Accessories & Customizing, Carwash, Care & Reconditioning, Management & Digital Solutions, Electronics & Systems, Repair & Maintenance, Tyres & Batteries.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119656
4,Middle East Energy Dubai 2021(Live and Online Event),"June 14, 2021 - June 16, 2021",Dubayy(Dubai) U A E Middle East,"Power Generation, Transmission and Distribution, Renewable Energy/Energy Storage, Energy Consumption & Management, Green Hydrogen, Digitalisation, Hybrid Technologies, Technical Theatre, Innovation/Future Gen",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110039
5,Jewellery Watch Show Abu Dhabi,"October 26, 2021 - October 30, 2021",Abu Dhabi U A E Middle East,"Diamond, Gold, Pearls, Precious and semi-precious gemstones, and Silver jewellery Fine watches.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110275
6,Gulf Education Training Exhibition (GETEX),"June 10, 2021 - June 12, 2021",Dubayy(Dubai) U A E Middle East,General EducationResidential SchoolsUnder-Graduate EducationPost-Graduate EducationOccupational & Industry EducationProfessional Development & Continuing EducationTrainingStudent Counselling and Career Advisory,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119570
7,World Future Energy Summit 2021,"January 17, 2022 - January 19, 2022",Abu Dhabi U A E Middle East,Technologies and solutions for Renewable Energy.,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109996
8,6th International Truck Trailer Tyre Expo UAE,"October 19, 2021 - October 21, 2021",Abu Dhabi U A E Middle East,"International Exhibition on Trucks, Trailers, Tippers, Tankers, Reefers, Containers, Tyres, Components & Allied Industry",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119400
9,AEEDC Dubai 2021 UAE International Dental Conference Arab Dental Exhibition,"June 29, 2021 - July  1, 2021",Dubayy(Dubai) U A E Middle East,"Abrasives, Abrasive Disks, Points & Wheels, Air Compressors, Alloys, Precious & Non-Precious Alloys, Casting Amalgamators, Analgesia Equipment & Supplies, Analgesics, Anatomical Models, Anaesthetics, Local & Accessories, Antibacterial Soaps and Detergents, Apex Locators, Articulators & Accessories, Asepsis Products, Attachments, Autoclaves, Bleaching Products, Bonding Agents, Bone Grafting Materials, Synthetic & Implants Cameras, Extra Oral / Intra, Oral Casting, Chromium,-Cobalt, Alloys, Casting Gold, Alloys Casting Machines, Cements, All Types Chairs & Accessories, Chewing Gum, Composite Resins Products, Cosmetic Restorations, Crowns and Crown & Bridge, Material Curing Lights, Dental Hygiene Materials (Not Otherwise Classified), Dental Laboratories, Dentifrices, Denture Cleaner, Denture Base/Reline & Repair Resins, Diagnostic Equipment, All Types Disinfecting Solutions, Disk & Mandrels & Strips, Disposable Needles & Products, Electro Surgical Equipment, Emergency Kits",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119313
10,Arab Health 2021,"June 21, 2021 - June 24, 2021",Dubayy(Dubai) U A E Middle East,"Medical equipment & devices, Disposables & consumer goods, Imaging & diagnostics, Wellness & prevention, Healthcare & general services, Healthcare infrastructure & assets, IT systems & solutions, Orthopaedics & physiotherapy / rehabilitation, Healthcare innovation hub",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109644
11,Arablab 2021 Leading Laboratory and Analytical Exhibition,"November 15, 2021 - November 17, 2021",Dubayy(Dubai) U A E Middle East,"Exhibitor Profile:Agriculture, Biotechnology, Chemical& Reagent, Chemical Engineering, Chemical Processing, Construction Analysis, Drug Discovery & Development, Energy & Environment, Equipment Development, Food Testing and Dianostics, Forensics & Security, Instrumentation, Laboratory Technology, Material Testing, Measurement & Technology, Medical Research, Nanotechnology, Petrochemicals, Process control, Quality Control, Research & Development, Robotics & Automation.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109489
